,Title,Genre,Director,IMDB_Rating,Runtime,Awards
0,Avatar,"Action, Adventure, Fantasy",James Cameron,7.9,162 min,Won 3 Oscars. 91 wins & 131 nominations total
1,Avengers: Endgame,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo",8.4,181 min,Nominated for 1 Oscar. 70 wins & 132 nominations total
2,Avatar: The Way of Water,"Action, Adventure, Fantasy",James Cameron,7.5,192 min,Won 1 Oscar. 73 wins & 152 nominations total
3,Titanic,"Drama, Romance",James Cameron,7.9,194 min,Won 11 Oscars. 126 wins & 84 nominations total
4,Ne Zha 2,"Animation, Action, Adventure",Yu Yang,8.0,144 min,11 wins & 1 nomination total
5,RiffTrax: Star Wars: The Force Awakens,Comedy,N/A,2.8,N/A,N/A
6,Avengers: Infinity War,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo",8.4,149 min,Nominated for 1 Oscar. 48 wins & 80 nominations total
7,Spider-Man: No Way Home,"Action, Adventure, Fantasy",Jon Watts,8.2,148 min,Nominated for 1 Oscar. 35 wins & 71 nominations total
8,Inside Out 2,"Animation, Adventure, Comedy",Kelsey Mann,7.5,96 min,Nominated for 1 Oscar. 7 wins & 106 nominations total
9,Jurassic World,"Action, Adventure, Sci-Fi",Colin Trevorrow,6.9,124 min,15 wins & 58 nominations total
10,The Lion King,"Animation, Adventure, Drama","Roger Allers, Rob Minkoff",8.5,88 min,Won 2 Oscars. 43 wins & 35 nominations total
11,The Avengers,"Action, Sci-Fi",Joss Whedon,8.0,143 min,Nominated for 1 Oscar. 39 wins & 81 nominations total
12,Furious 7,"Action, Thriller",James Wan,7.1,137 min,36 wins & 36 nominations total
13,Top Gun: Maverick,"Action, Drama",Joseph Kosinski,8.2,130 min,Won 1 Oscar. 111 wins & 235 nominations total
14,Into the Unknown: Making Frozen 2,"Documentary, Family",N/A,8.5,2 min,N/A
15,Barbie,"Adventure, Comedy, Fantasy",Greta Gerwig,6.8,114 min,Won 1 Oscar. 211 wins & 435 nominations total
16,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",Joss Whedon,7.3,141 min,8 wins & 52 nominations total
17,The Super Mario Bros. Movie,"Animation, Adventure, Comedy","Aaron Horvath, Michael Jelenic, Pierre Leduc",7.0,92 min,2 wins & 49 nominations total
18,Black Panther,"Action, Adventure, Sci-Fi",Ryan Coogler,7.3,134 min,Won 3 Oscars. 124 wins & 289 nominations total
19,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Family, Fantasy",David Yates,8.1,130 min,Nominated for 3 Oscars. 49 wins & 96 nominations total
