name,height_raw,school,sport,gender,team,height_in,height_cm
Shakib Delowar,5-11,City College of New York,volleyball,M,Men's Volleyball,71.0,180.34
Brandon  Green,6-0,City College of New York,volleyball,M,Men's Volleyball,72.0,182.88
Reng  Chen,5-9,City College of New York,volleyball,M,Men's Volleyball,69.0,175.26
Anirudha Das,5-8,City College of New York,volleyball,M,Men's Volleyball,68.0,172.72
Gabriel Linus,6-3,City College of New York,volleyball,M,Men's Volleyball,75.0,190.5
Nana Boateng,5-7,City College of New York,volleyball,M,Men's Volleyball,67.0,170.18
Carlos Garcia,6-0,City College of New York,volleyball,M,Men's Volleyball,72.0,182.88
Alex  Ma,5-10,City College of New York,volleyball,M,Men's Volleyball,70.0,177.8
Amir Nabiyev,5-11,City College of New York,volleyball,M,Men's Volleyball,71.0,180.34
Alex Abraham,6-1,City College of New York,volleyball,M,Men's Volleyball,73.0,185.42000000000002
Mahmoud Tayeh,6-2,City College of New York,volleyball,M,Men's Volleyball,74.0,187.96
Kyrylo Vysotskyy,6-0,City College of New York,volleyball,M,Men's Volleyball,72.0,182.88
Ray Rodriguez,5-7,Lehman College,volleyball,M,Men's Volleyball,67.0,170.18
Abdoylaye Kante,5-11,Lehman College,volleyball,M,Men's Volleyball,71.0,180.34
Oscar Calderon,6-4,Lehman College,volleyball,M,Men's Volleyball,76.0,193.04
Christopher King,5-11,Lehman College,volleyball,M,Men's Volleyball,71.0,180.34
Levi Rosario,5-4,Lehman College,volleyball,M,Men's Volleyball,64.0,162.56
Emmanuel Oladosu,5-10,Lehman College,volleyball,M,Men's Volleyball,70.0,177.8
Joseph Gianfranco Teves,5-5,Lehman College,volleyball,M,Men's Volleyball,65.0,165.1
Alain Abreu Esteva,6-0,Lehman College,volleyball,M,Men's Volleyball,72.0,182.88
Daylan Peralta,6-0,Lehman College,volleyball,M,Men's Volleyball,72.0,182.88
Neithan Pilay,5-10,Lehman College,volleyball,M,Men's Volleyball,70.0,177.8
Christian Agudo,5-7,Lehman College,volleyball,M,Men's Volleyball,67.0,170.18
Emanuel Cochran,6-4,Lehman College,volleyball,M,Men's Volleyball,76.0,193.04
Almir Pepic,6-2,Lehman College,volleyball,M,Men's Volleyball,74.0,187.96
John Zerafa,5-7,Lehman College,volleyball,M,Men's Volleyball,67.0,170.18
Jayden Diaz,5-11,Lehman College,volleyball,M,Men's Volleyball,71.0,180.34
Kevin Seise,5-8,Brooklyn College,volleyball,M,Men's Volleyball,68.0,172.72
Dion  Csikortos,5-5,Brooklyn College,volleyball,M,Men's Volleyball,65.0,165.1
Stefan Simon,5-9,Brooklyn College,volleyball,M,Men's Volleyball,69.0,175.26
Farid Akhundov,5-10,Brooklyn College,volleyball,M,Men's Volleyball,70.0,177.8
Omar Shawki,5-9,Brooklyn College,volleyball,M,Men's Volleyball,69.0,175.26
Yinuo Zhang,6-2,Brooklyn College,volleyball,M,Men's Volleyball,74.0,187.96
